CODIGO|NOME|ESTADO
0441|BARBALHA|CE
0442|BARBOSA|SP
0443|BARBOSA FERRAZ|PR
0444|BARCARENA|PA
0445|BARCELONA|RN
0446|BARCELOS|AM
0447|BARIRI|SP
0448|BARRA|BA
0449|BARRA BONITA|SP
0450|BARRA DA ESTIVA|BA
0451|BARRA DE GUABIRABA|PE
0452|BARRA DE SANTA ROSA|PB
0453|BARRA DE SANTO ANTONIO|AL
0454|BARRA DE SAO FRANCISCO|ES
0455|BARRA DE SÃO MIGUEL|PB
0456|BARRA DE SAO MIGUEL|AL
0457|BARRA DO BUGRES|MT
0458|BARRA DO CAMARATUBA|PB
0459|BARRA DO CHAPEL|SP
0460|BARRA DO CHOCA|BA
0461|BARRA DO CORDA|MA
0462|BARRA DO GARÇAS|MT
0463|BARRA DO JACARE|PR
0464|BARRA DO MENDES|BA
0465|BARRA DO PIRAÍ|RJ
0466|BARRA DO RIBEIRO|RS
0467|BARRA DO ROCHA|BA
0468|BARRA DO TURVO|SP
0469|BARRA DOS COQUEIROS|SE
0470|BARRA LONGA|MG
0471|BARRA MANSA|RJ
0472|BARRA VELHA|SC
0473|BARRACAO|PR
0474|BARRACAO|RS
0475|BARRAS|PI
0476|BARREIRA|CE
0477|BARREIRAS|BA
0478|BARREIRAS DO PIAUI|PI
0479|BARREIRINHA|AM
0480|BARREIRINHAS|MA
0481|BARREIROS|PE
0482|BARRETOS|SP
0483|BARRINHA|SP
0484|BARRO|CE
0485|BARRO ALTO|GO
0486|BARRO ALTO|BA
0487|BARRO DURO|PI
0488|BARRO PRETO|BA
0489|BARROCAS|BA
0490|BARROLANDIA|TO
0491|BARROQUINHA|CE
0492|BARROS CASSAL|RS
0493|BARROSO|MG
0494|BARUERI|SP
0495|BASTOS|SP
0496|BATAGUASSU|MS
0497|BATAIPORA|MS
0498|BATALHA|PI
0499|BATALHA|AL
0500|PORTO REAL|RJ
0501|BATURITE|CE
0502|BAURU|SP
0503|BAYEUX|PB
0504|BEBEDOURO|SP
0505|BEBERIBE|CE
0506|BELA CRUZ|CE
0507|BELA VISTA|MS
0508|BELA VISTA DE GOIAS|GO
0509|BELA VISTA DE MINAS|MG
0510|BELA VISTA DO PARAÍSO|PR
0511|BELÉM|PA
0512|BELEM|AL
0513|BELÉM|PB
0514|BELEM DE MARIA|PE
0515|BELEM DE SAO FRANCISCO|PE
0516|BELEM DO BREJO DO CRUZ|PB
0517|BELFORD  ROXO|RJ
0518|BELMIRO BRAGA|MG
0519|BELMONTE|BA
0520|BELO CAMPO|BA
0521|BELO HORIZONTE|MG
0522|BELO JARDIM|PE
0523|BELO MONTE|AL
0524|BELO ORIENTE|MG
0525|BELO VALE|MG
0526|BENEDITINOS|PI
0527|BENEDITO LEITE|MA
0528|BENEDITO NOVO|SC
0529|BENEVIDES|PA
0530|BENJAMIN CONSTANT|AM
0531|BENTO DE ABREU|SP
0532|BENTO FERNANDES|RN
0533|BENTO GONÇALVES|RS
0534|BEQUIMAO|MA
0535|BERILO|MG
0536|BERNARDINO BATISTA|PB
0537|BERNARDINO DE CAMPOS|SP
0538|BERNARDO SAYAO|TO
0539|BERTIOGA|SP
0540|BERTOLINIA|PI
0541|BERTOPOLIS|MG
0542|BERURI|AM
0543|BETANIA|PE
0544|BETANIA DO PIAUI|PI
0545|BETIM|MG
0546|BEZERROS|PE
0547|BIAS FORTES|MG
0548|BICAS|MG
0549|BIGUACU|SC
0550|BILAC|SP
0551|BIQUINHAS|MG
0552|BIRIGUI|SP
0553|BIRITIBA-MIRIM|SP
0554|BIRITINGA|BA
0555|BITTENCOURT|AM
0556|BITURUNA|PR
0557|BLUMENAU|SC
0558|BOA ESPERANÇA|ES
0559|BOA ESPERANÇA|MG
0560|BOA ESPERANÇA|PR
0561|BOA ESPERANÇA DO IGUAÇU|PR
0562|BOA ESPERANÇA DO SUL|SP
0563|BOA NOVA|BA
0564|BOA VENTURA|PB
0565|BOA VENTURA |PR
0566|BOA VIAGEM|CE
0567|BOA VISTA|RR
0568|BOA VISTA|PB
0569|BOA VISTA DA APARECIDA|PR
0570|BOA VISTA DO BURICA|RS
0571|BOA VISTA DO RAMOS|AM
0572|BOA VISTA DO TUPIM|BA
0573|BOCA DA MATA|AL
0574|BOCA DO ACRE|AM
0575|BOCAINA|SP
0576|BOCAINA|PI
0577|BOCAINA DE MINAS|MG
0578|BOCAIUVA|MG
0579|BOCAIUVA DO SUL|PR
0580|BODOCO|PE
0581|BODOQUENA|MS
0582|BOFETE|SP
0583|BOITUVA|SP
0584|BOM CONSELHO|PE
0585|BOM DESPACHO|MG
0586|BOM JARDIM|RJ
0587|BOM JARDIM|PE
0588|BOM JARDIM|MA
0589|BOM JARDIM DA SERRA|SC
0590|BOM JARDIM DE GOIAS|GO
0591|BOM JARDIM DE MINAS|MG
0592|BOM JESUS|RN
0593|BOM JESUS|PB
0594|BOM JESUS|RS
0595|BOM JESUS|PI
0596|BOM JESUS DA LAPA|BA
0597|BOM JESUS DA PENHA|MG
0598|BOM JESUS DE GOIAS|GO
0599|BOM JESUS DE SERRA|BA
0600|BOM JESUS DO AMPARO|MG
0601|BOM JESUS DO GALHO|MG
0602|BOM JESUS DO ITABAPOANA|RJ
0603|BOM JESUS DO NORTE|ES
0604|BOM JESUS DO SERIDO|PB
0605|BOM JESUS DO TOCANTINS|PA
0606|BOM JESUS DO TOCANTINS|TO
0607|BOM JESUS DOS PERDOES|SP
0608|BOM PRINCIPIO|RS
0609|BOM REPOUSO|MG
0610|BOM RETIRO|SC
0611|BOM RETIRO DO SUL|RS
0612|BOM SUCESSO|PB
0613|BOM SUCESSO|PR
0614|BOM SUCESSO|MG
0615|BOM SUCESSO DE ITARARE|SP
0616|BOM SUCESSO DO SUL|PR
0617|BOMFIN|MG
0618|BONFIM|RR
0619|BONFIM DO PIAUI|PI
0620|BONFINOPOLIS|GO
0621|BONFINOPOLIS DE MINAS|MG
0622|BONINAL|BA
0623|BONITO|PA
0624|BONITO|MS
0625|BONITO|PE
0626|BONITO|BA
0627|BONITO DE SANTA FE|PB
0628|BOQUEIRAO|PB
0629|BOQUEIRAO|PI
0630|BOQUEIRAO DO LEAO|RS
0631|BOQUEIRAO DOS COCHOS|PB
0632|BOQUIM|SE
0633|BOQUIRA|BA
0634|BORA|SP
0635|BORACEIA|SP
0636|BORBA|AM
0637|BORBOREMA|PB
0638|BORBOREMA|SP
0639|BORDA DA MATA|MG
0640|BOREBI|SP
0641|BORRAZOPOLIS|PR
0642|BOSSOROCA|RS
0643|BOTELHOS|MG
0644|BOTUCATU|SP
0645|BOTUMIRIM|MG
0646|BOTUPORA|BA
0647|BOTUVERA|SC
0648|BRACO DO NORTE|SC
0649|BRAGA|RS
0650|BRAGANÇA|PA
0651|BRAGANÇA PAULISTA|SP
0652|BRAGANEY|PR
0653|BRAGANTINA|PR
0654|BRANQUINHA|AL
0655|BRAS PIRES|MG
0656|BRASILANDIA|MS
0657|BRASILANDIA DO SUL|PR
0658|BRASILANDIA DO TOCANTINS|TO
0659|BRASILEIA|AC
0660|BRASILEIRA|PI
0661|DEPARTAMENTO DE TRÂNSITO DE BRASÍLIA|DF
0662|BRASILIA DE MINAS|MG
0663|BRASÍLIA (BRAZLÂNDIA)|DF
0664|BRASÍLIA (CEILÂNDIA)|DF
0665|BRASÍLIA (GAMA)|DF
0666|BRASÍLIA (GUARÁ)|DF
0667|BRASÍLIA (NÚCLEO BANDEIRANTE)|DF
0668|BRASÍLIA (PLANALTINA)|DF
0669|BRASÍLIA (SOBRADINHO)|DF
0670|BRASÍLIA (TAGUATINGA)|DF
0671|BRASNORTE|MT
0672|BRAÚNA|SP
0673|BRAUNAS|MG
0674|BRAZABRANTES|GO
0675|BRAZOPOLIS|MG
0676|BREJAO|PE
0677|BREJINHO|RN
0678|BREJINHO|PE
0679|BREJINHO DE NAZARE|TO
0680|BREJO|MA
0681|BREJO DA MADRE DE DEUS|PE
0682|BREJO DA CRUZ|PB
0683|BREJO DOS SANTOS|PB
0684|BREJO GRANDE|SE
0685|BREJO GRANDE DO ARAGUAIA|PA
0686|BREJO SANTO|CE
0687|BREJOES|BA
0688|BREJOLANDIA|BA
0689|BREVES|PA
0690|BRITANIA|GO
0691|BROCHIER DO MARATA|RS
0692|BRODOSQUI|SP
0693|BROTAS|SP
0694|BROTAS DE MACAUBAS|BA
0695|BRUMADINHO|MG
0696|BRUMADO|BA
0697|BRUSQUE|SC
0698|BUENO BRANDAO|MG
0699|BUENOPOLIS|MG
0700|BUENOS AIRES|PE
0701|BUERAREMA|BA
0702|BUIQUE|PE
0703|BUJARU|PA
0704|BURI|SP
0705|BURITAMA|SP
0706|BURITI|MA
0707|BURITI ALEGRE|GO
0708|BURITI BRAVO|MA
0709|BURITI DO CASTELO|PI
0710|BURITI DO TOCANTINS|TO
0711|BURITI DOS LOPES|PI
0712|BURITI DOS MONTES|PI
0713|BURITIRAMA|BA
0714|BURITIS|MG
0715|BURITIZAL|SP
0716|BURITIZEIRO|MG
0717|BUTIA|RS
0718|CAAPIRANGA|AM
0719|CAAPORA|PB
0720|CAARAPO|MS
0721|CAATIBA|BA
0722|CABACEIRAS|PB
0723|CABECEIRAS|GO
0724|CABECEIRAS|PI
0725|CABECEIRAS DO PARAGUACU|BA
0726|CABEDELO|PB
0727|CABIXI|RO
0728|CABO|PE
0729|CABO FRIO|RJ
0730|CABO VERDE|MG
0731|CABRALIA PAULISTA|SP
0732|CABREÚVA|SP
0733|CABROBO|PE
0734|CAÇADOR|SC
0735|CACAIEIEROS|RO
0736|CAÇAPAVA|SP
0737|CACAPAVA DO SUL|RS
0738|CACAULANDIA|RO
0739|CACEQUI|RS
0740|CÁCERES|MT
0741|CACHOEIRA|BA
0742|CACHOEIRA ALTA|GO
0743|CACHOEIRA DA PRATA|MG
0744|CACHOEIRA DE GOIAS|GO
0745|CACHOEIRA DE MINAS|MG
0746|CACHOEIRA DE PAJEU|MG
0747|CACHOEIRA DO ARARI|PA
0748|CACHOEIRA DO SUL|RS
0749|CACHOEIRA DOS INDIOS|PB
0750|CACHOEIRA DOURADA|MG
0751|CACHOEIRA DOURADA|GO
0752|CACHOEIRA PAULISTA|SP
0753|CACHOEIRAS DE MACACU|RJ
0754|CACHOEIRINHA|PE
0755|CACHOEIRINHA|RS
0756|CACHOEIRINHA|TO
0757|CACHOEIRINHA|PB
0758|CACHOEIRINHA DE TACIMA|PB
0759|CACHOEIRO DO ITAPEMIRIM|ES
0760|CACIMBA DE AREIA|PB
0761|CACIMBA DE DENTRO|PB
0762|CACIMBAS|PB
0763|CACIMBINHAS|AL
0764|CACIQUE DOBLE|RS
0765|CACOAL|RO
0766|CACONDE|SP
0767|CACU|GO
0768|CACULE|BA
0769|CAEM|BA
0770|CAETANOPOLIS|MG
0771|CAETANOS|BA
0772|CAETE|MG
0773|CAETES|PE
0774|CAETITE|BA
0775|CAFARNAUM|BA
0776|CAFEARA|PR
0777|CAFELANDIA|SP
